pair,script,backend,rows_compared,top_mean_diff_idxs,top_mean_diff_vals,top_std_diff_idxs,top_std_diff_vals,stats_csv,histograms
log_script_2025-11-11T20-45-44.json__log_backend_2025-11-11T20-45-44.json,log_script_2025-11-11T20-45-44.json,static\debug_logs\log_backend_2025-11-11T20-45-44.json,48,"[108, 43, 45, 47, 77, 69]","[0.6458333730697632, 0.5481655597686768, 0.5146563649177551, 0.4773959517478943, 0.46995991468429565, 0.4516527056694031]","[103, 105, 102, 104, 107, 41]","[4.444456577301025, 4.298646926879883, 4.003859043121338, 2.0107297897338867, 0.49607837200164795, 0.35713130235671997]",log_script_2025-11-11T20-45-44__log_backend_2025-11-11T20-45-44_stats.csv,"['log_script_2025-11-11T20-45-44__log_backend_2025-11-11T20-45-44_hist_idx108.png', 'log_script_2025-11-11T20-45-44__log_backend_2025-11-11T20-45-44_hist_idx43.png', 'log_script_2025-11-11T20-45-44__log_backend_2025-11-11T20-45-44_hist_idx45.png', 'log_script_2025-11-11T20-45-44__log_backend_2025-11-11T20-45-44_hist_idx47.png', 'log_script_2025-11-11T20-45-44__log_backend_2025-11-11T20-45-44_hist_idx77.png', 'log_script_2025-11-11T20-45-44__log_backend_2025-11-11T20-45-44_hist_idx69.png']"
log_script_2025-11-11T20-45-45.json__log_backend_2025-11-11T20-45-44.json,log_script_2025-11-11T20-45-45.json,static\debug_logs\log_backend_2025-11-11T20-45-44.json,48,"[108, 43, 45, 47, 77, 69]","[0.6458333730697632, 0.5470088720321655, 0.5141039490699768, 0.4779090881347656, 0.46758222579956055, 0.4491170048713684]","[103, 105, 102, 104, 107, 41]","[4.444456577301025, 4.29953145980835, 4.003859043121338, 2.0099377632141113, 0.49607837200164795, 0.35713130235671997]",log_script_2025-11-11T20-45-45__log_backend_2025-11-11T20-45-44_stats.csv,"['log_script_2025-11-11T20-45-45__log_backend_2025-11-11T20-45-44_hist_idx108.png', 'log_script_2025-11-11T20-45-45__log_backend_2025-11-11T20-45-44_hist_idx43.png', 'log_script_2025-11-11T20-45-45__log_backend_2025-11-11T20-45-44_hist_idx45.png', 'log_script_2025-11-11T20-45-45__log_backend_2025-11-11T20-45-44_hist_idx47.png', 'log_script_2025-11-11T20-45-45__log_backend_2025-11-11T20-45-44_hist_idx77.png', 'log_script_2025-11-11T20-45-45__log_backend_2025-11-11T20-45-44_hist_idx69.png']"
log_script_2025-11-11T20-45-46.json__log_backend_2025-11-11T20-45-47.json,log_script_2025-11-11T20-45-46.json,static\debug_logs\log_backend_2025-11-11T20-45-47.json,48,"[108, 43, 45, 105, 107, 47]","[0.5833333730697632, 0.5178698301315308, 0.48693767189979553, 0.45854079723358154, 0.4583333432674408, 0.45403793454170227]","[103, 102, 105, 104, 107, 41]","[6.893901348114014, 5.534689903259277, 2.9059391021728516, 1.5450046062469482, 0.4982609450817108, 0.36632561683654785]",log_script_2025-11-11T20-45-46__log_backend_2025-11-11T20-45-47_stats.csv,"['log_script_2025-11-11T20-45-46__log_backend_2025-11-11T20-45-47_hist_idx108.png', 'log_script_2025-11-11T20-45-46__log_backend_2025-11-11T20-45-47_hist_idx43.png', 'log_script_2025-11-11T20-45-46__log_backend_2025-11-11T20-45-47_hist_idx45.png', 'log_script_2025-11-11T20-45-46__log_backend_2025-11-11T20-45-47_hist_idx105.png', 'log_script_2025-11-11T20-45-46__log_backend_2025-11-11T20-45-47_hist_idx107.png', 'log_script_2025-11-11T20-45-46__log_backend_2025-11-11T20-45-47_hist_idx47.png']"
log_script_2025-11-11T20-45-47.json__log_backend_2025-11-11T20-45-47.json,log_script_2025-11-11T20-45-47.json,static\debug_logs\log_backend_2025-11-11T20-45-47.json,48,"[108, 43, 45, 105, 107, 47]","[0.5833333730697632, 0.5107624530792236, 0.48114803433418274, 0.4631344676017761, 0.4583333432674408, 0.449106365442276]","[103, 102, 105, 104, 107, 41]","[6.893901348114014, 5.534689903259277, 2.907121181488037, 1.5454564094543457, 0.4982609450817108, 0.36632561683654785]",log_script_2025-11-11T20-45-47__log_backend_2025-11-11T20-45-47_stats.csv,"['log_script_2025-11-11T20-45-47__log_backend_2025-11-11T20-45-47_hist_idx108.png', 'log_script_2025-11-11T20-45-47__log_backend_2025-11-11T20-45-47_hist_idx43.png', 'log_script_2025-11-11T20-45-47__log_backend_2025-11-11T20-45-47_hist_idx45.png', 'log_script_2025-11-11T20-45-47__log_backend_2025-11-11T20-45-47_hist_idx105.png', 'log_script_2025-11-11T20-45-47__log_backend_2025-11-11T20-45-47_hist_idx107.png', 'log_script_2025-11-11T20-45-47__log_backend_2025-11-11T20-45-47_hist_idx47.png']"
log_script_2025-11-11T20-45-48.json__log_backend_2025-11-11T20-45-47.json,log_script_2025-11-11T20-45-48.json,static\debug_logs\log_backend_2025-11-11T20-45-47.json,48,"[108, 43, 45, 47, 107, 77]","[0.6041666269302368, 0.5269143581390381, 0.49621716141700745, 0.46255984902381897, 0.4583333432674408, 0.45104020833969116]","[103, 102, 105, 104, 107, 108]","[6.893901348114014, 5.534689903259277, 4.000377655029297, 1.8330341577529907, 0.4982609450817108, 0.48902884125709534]",log_script_2025-11-11T20-45-48__log_backend_2025-11-11T20-45-47_stats.csv,"['log_script_2025-11-11T20-45-48__log_backend_2025-11-11T20-45-47_hist_idx108.png', 'log_script_2025-11-11T20-45-48__log_backend_2025-11-11T20-45-47_hist_idx43.png', 'log_script_2025-11-11T20-45-48__log_backend_2025-11-11T20-45-47_hist_idx45.png', 'log_script_2025-11-11T20-45-48__log_backend_2025-11-11T20-45-47_hist_idx47.png', 'log_script_2025-11-11T20-45-48__log_backend_2025-11-11T20-45-47_hist_idx107.png', 'log_script_2025-11-11T20-45-48__log_backend_2025-11-11T20-45-47_hist_idx77.png']"
log_script_2025-11-11T20-45-49.json__log_backend_2025-11-11T20-45-47.json,log_script_2025-11-11T20-45-49.json,static\debug_logs\log_backend_2025-11-11T20-45-47.json,48,"[108, 43, 45, 47, 107, 77]","[0.6041666269302368, 0.5252943634986877, 0.49360379576683044, 0.4591268002986908, 0.4583333432674408, 0.4486067295074463]","[103, 102, 105, 104, 107, 108]","[6.893901348114014, 5.534689903259277, 4.0004167556762695, 1.8115226030349731, 0.4982609450817108, 0.48902884125709534]",log_script_2025-11-11T20-45-49__log_backend_2025-11-11T20-45-47_stats.csv,"['log_script_2025-11-11T20-45-49__log_backend_2025-11-11T20-45-47_hist_idx108.png', 'log_script_2025-11-11T20-45-49__log_backend_2025-11-11T20-45-47_hist_idx43.png', 'log_script_2025-11-11T20-45-49__log_backend_2025-11-11T20-45-47_hist_idx45.png', 'log_script_2025-11-11T20-45-49__log_backend_2025-11-11T20-45-47_hist_idx47.png', 'log_script_2025-11-11T20-45-49__log_backend_2025-11-11T20-45-47_hist_idx107.png', 'log_script_2025-11-11T20-45-49__log_backend_2025-11-11T20-45-47_hist_idx77.png']"
log_script_2025-11-11T20-45-50.json__log_backend_2025-11-11T20-45-47.json,log_script_2025-11-11T20-45-50.json,static\debug_logs\log_backend_2025-11-11T20-45-47.json,48,"[108, 43, 45, 47, 107, 77]","[0.6041666269302368, 0.527498722076416, 0.4942913353443146, 0.458513468503952, 0.4583333432674408, 0.45018279552459717]","[103, 102, 105, 104, 107, 108]","[6.893901348114014, 5.534689903259277, 4.01509952545166, 1.8146922588348389, 0.4982609450817108, 0.48902884125709534]",log_script_2025-11-11T20-45-50__log_backend_2025-11-11T20-45-47_stats.csv,"['log_script_2025-11-11T20-45-50__log_backend_2025-11-11T20-45-47_hist_idx108.png', 'log_script_2025-11-11T20-45-50__log_backend_2025-11-11T20-45-47_hist_idx43.png', 'log_script_2025-11-11T20-45-50__log_backend_2025-11-11T20-45-47_hist_idx45.png', 'log_script_2025-11-11T20-45-50__log_backend_2025-11-11T20-45-47_hist_idx47.png', 'log_script_2025-11-11T20-45-50__log_backend_2025-11-11T20-45-47_hist_idx107.png', 'log_script_2025-11-11T20-45-50__log_backend_2025-11-11T20-45-47_hist_idx77.png']"
log_script_2025-11-11T20-45-51.json__log_backend_2025-11-11T20-45-53.json,log_script_2025-11-11T20-45-51.json,static\debug_logs\log_backend_2025-11-11T20-45-53.json,48,"[108, 43, 45, 77, 47, 103]","[0.5416666269302368, 0.5285316705703735, 0.49605727195739746, 0.464517742395401, 0.46287837624549866, 0.4530710279941559]","[103, 102, 105, 104, 108, 107]","[3.1058084964752197, 2.7992608547210693, 2.238713026046753, 1.5804014205932617, 0.49826085567474365, 0.4841229319572449]",log_script_2025-11-11T20-45-51__log_backend_2025-11-11T20-45-53_stats.csv,"['log_script_2025-11-11T20-45-51__log_backend_2025-11-11T20-45-53_hist_idx108.png', 'log_script_2025-11-11T20-45-51__log_backend_2025-11-11T20-45-53_hist_idx43.png', 'log_script_2025-11-11T20-45-51__log_backend_2025-11-11T20-45-53_hist_idx45.png', 'log_script_2025-11-11T20-45-51__log_backend_2025-11-11T20-45-53_hist_idx77.png', 'log_script_2025-11-11T20-45-51__log_backend_2025-11-11T20-45-53_hist_idx47.png', 'log_script_2025-11-11T20-45-51__log_backend_2025-11-11T20-45-53_hist_idx103.png']"
log_script_2025-11-11T20-45-52.json__log_backend_2025-11-11T20-45-53.json,log_script_2025-11-11T20-45-52.json,static\debug_logs\log_backend_2025-11-11T20-45-53.json,48,"[108, 43, 45, 77, 47, 103]","[0.5416666269302368, 0.5278264880180359, 0.49388182163238525, 0.4656248390674591, 0.45923444628715515, 0.4530710279941559]","[103, 102, 105, 104, 108, 107]","[3.1058084964752197, 2.7992608547210693, 2.2442193031311035, 1.5664976835250854, 0.49826085567474365, 0.4841229319572449]",log_script_2025-11-11T20-45-52__log_backend_2025-11-11T20-45-53_stats.csv,"['log_script_2025-11-11T20-45-52__log_backend_2025-11-11T20-45-53_hist_idx108.png', 'log_script_2025-11-11T20-45-52__log_backend_2025-11-11T20-45-53_hist_idx43.png', 'log_script_2025-11-11T20-45-52__log_backend_2025-11-11T20-45-53_hist_idx45.png', 'log_script_2025-11-11T20-45-52__log_backend_2025-11-11T20-45-53_hist_idx77.png', 'log_script_2025-11-11T20-45-52__log_backend_2025-11-11T20-45-53_hist_idx47.png', 'log_script_2025-11-11T20-45-52__log_backend_2025-11-11T20-45-53_hist_idx103.png']"
log_script_2025-11-11T20-45-53.json__log_backend_2025-11-11T20-45-53.json,log_script_2025-11-11T20-45-53.json,static\debug_logs\log_backend_2025-11-11T20-45-53.json,48,"[108, 43, 45, 77, 47, 103]","[0.5416666269302368, 0.5252063274383545, 0.4934327006340027, 0.4636208713054657, 0.4599471390247345, 0.4530710279941559]","[103, 102, 105, 104, 108, 107]","[3.1058084964752197, 2.7992608547210693, 2.247512102127075, 1.593032956123352, 0.49826085567474365, 0.4841229319572449]",log_script_2025-11-11T20-45-53__log_backend_2025-11-11T20-45-53_stats.csv,"['log_script_2025-11-11T20-45-53__log_backend_2025-11-11T20-45-53_hist_idx108.png', 'log_script_2025-11-11T20-45-53__log_backend_2025-11-11T20-45-53_hist_idx43.png', 'log_script_2025-11-11T20-45-53__log_backend_2025-11-11T20-45-53_hist_idx45.png', 'log_script_2025-11-11T20-45-53__log_backend_2025-11-11T20-45-53_hist_idx77.png', 'log_script_2025-11-11T20-45-53__log_backend_2025-11-11T20-45-53_hist_idx47.png', 'log_script_2025-11-11T20-45-53__log_backend_2025-11-11T20-45-53_hist_idx103.png']"
log_script_2025-11-11T20-45-54.json__log_backend_2025-11-11T20-45-53.json,log_script_2025-11-11T20-45-54.json,static\debug_logs\log_backend_2025-11-11T20-45-53.json,48,"[108, 43, 45, 77, 47, 103]","[0.5416666269302368, 0.5272366404533386, 0.49388009309768677, 0.466595321893692, 0.45980629324913025, 0.4530710279941559]","[103, 102, 105, 104, 108, 107]","[3.1058084964752197, 2.7992608547210693, 2.2382402420043945, 1.5887540578842163, 0.49826085567474365, 0.4841229319572449]",log_script_2025-11-11T20-45-54__log_backend_2025-11-11T20-45-53_stats.csv,"['log_script_2025-11-11T20-45-54__log_backend_2025-11-11T20-45-53_hist_idx108.png', 'log_script_2025-11-11T20-45-54__log_backend_2025-11-11T20-45-53_hist_idx43.png', 'log_script_2025-11-11T20-45-54__log_backend_2025-11-11T20-45-53_hist_idx45.png', 'log_script_2025-11-11T20-45-54__log_backend_2025-11-11T20-45-53_hist_idx77.png', 'log_script_2025-11-11T20-45-54__log_backend_2025-11-11T20-45-53_hist_idx47.png', 'log_script_2025-11-11T20-45-54__log_backend_2025-11-11T20-45-53_hist_idx103.png']"
log_script_2025-11-11T20-45-55.json__log_backend_2025-11-11T20-45-56.json,log_script_2025-11-11T20-45-55.json,static\debug_logs\log_backend_2025-11-11T20-45-56.json,48,"[108, 43, 45, 47, 77, 69]","[0.6875, 0.577621579170227, 0.5426228642463684, 0.5036133527755737, 0.49784916639328003, 0.477548211812973]","[103, 102, 105, 104, 108, 107]","[4.687821388244629, 4.166943550109863, 1.3909801244735718, 1.0296045541763306, 0.4635123908519745, 0.4635123908519745]",log_script_2025-11-11T20-45-55__log_backend_2025-11-11T20-45-56_stats.csv,"['log_script_2025-11-11T20-45-55__log_backend_2025-11-11T20-45-56_hist_idx108.png', 'log_script_2025-11-11T20-45-55__log_backend_2025-11-11T20-45-56_hist_idx43.png', 'log_script_2025-11-11T20-45-55__log_backend_2025-11-11T20-45-56_hist_idx45.png', 'log_script_2025-11-11T20-45-55__log_backend_2025-11-11T20-45-56_hist_idx47.png', 'log_script_2025-11-11T20-45-55__log_backend_2025-11-11T20-45-56_hist_idx77.png', 'log_script_2025-11-11T20-45-55__log_backend_2025-11-11T20-45-56_hist_idx69.png']"
log_script_2025-11-11T20-45-56.json__log_backend_2025-11-11T20-45-56.json,log_script_2025-11-11T20-45-56.json,static\debug_logs\log_backend_2025-11-11T20-45-56.json,48,"[108, 43, 45, 47, 77, 69]","[0.6458333134651184, 0.5536172389984131, 0.5222814083099365, 0.48651325702667236, 0.47803181409835815, 0.4593717157840729]","[103, 102, 105, 104, 107, 41]","[4.687821388244629, 4.166943550109863, 1.3974298238754272, 1.048348069190979, 0.4635123908519745, 0.356689453125]",log_script_2025-11-11T20-45-56__log_backend_2025-11-11T20-45-56_stats.csv,"['log_script_2025-11-11T20-45-56__log_backend_2025-11-11T20-45-56_hist_idx108.png', 'log_script_2025-11-11T20-45-56__log_backend_2025-11-11T20-45-56_hist_idx43.png', 'log_script_2025-11-11T20-45-56__log_backend_2025-11-11T20-45-56_hist_idx45.png', 'log_script_2025-11-11T20-45-56__log_backend_2025-11-11T20-45-56_hist_idx47.png', 'log_script_2025-11-11T20-45-56__log_backend_2025-11-11T20-45-56_hist_idx77.png', 'log_script_2025-11-11T20-45-56__log_backend_2025-11-11T20-45-56_hist_idx69.png']"
log_script_2025-11-11T20-45-57.json__log_backend_2025-11-11T20-45-56.json,log_script_2025-11-11T20-45-57.json,static\debug_logs\log_backend_2025-11-11T20-45-56.json,48,"[108, 43, 45, 77, 47, 69]","[0.3958333134651184, 0.3840313255786896, 0.36124807596206665, 0.3391970992088318, 0.33743399381637573, 0.3252873420715332]","[103, 102, 105, 104, 107, 41]","[4.687821388244629, 4.166943550109863, 1.4091622829437256, 1.0788986682891846, 0.4635123908519745, 0.356689453125]",log_script_2025-11-11T20-45-57__log_backend_2025-11-11T20-45-56_stats.csv,"['log_script_2025-11-11T20-45-57__log_backend_2025-11-11T20-45-56_hist_idx108.png', 'log_script_2025-11-11T20-45-57__log_backend_2025-11-11T20-45-56_hist_idx43.png', 'log_script_2025-11-11T20-45-57__log_backend_2025-11-11T20-45-56_hist_idx45.png', 'log_script_2025-11-11T20-45-57__log_backend_2025-11-11T20-45-56_hist_idx77.png', 'log_script_2025-11-11T20-45-57__log_backend_2025-11-11T20-45-56_hist_idx47.png', 'log_script_2025-11-11T20-45-57__log_backend_2025-11-11T20-45-56_hist_idx69.png']"
log_script_2025-11-11T20-45-58.json__log_backend_2025-11-11T20-45-56.json,log_script_2025-11-11T20-45-58.json,static\debug_logs\log_backend_2025-11-11T20-45-56.json,48,"[107, 95, 41, 39, 34, 1]","[0.3125, 0.2509484887123108, 0.24043667316436768, 0.23787569999694824, 0.23696492612361908, 0.2344808578491211]","[103, 102, 105, 104, 107, 41]","[4.687821388244629, 4.166943550109863, 1.4244093894958496, 1.108414888381958, 0.4635123908519745, 0.356689453125]",log_script_2025-11-11T20-45-58__log_backend_2025-11-11T20-45-56_stats.csv,"['log_script_2025-11-11T20-45-58__log_backend_2025-11-11T20-45-56_hist_idx107.png', 'log_script_2025-11-11T20-45-58__log_backend_2025-11-11T20-45-56_hist_idx95.png', 'log_script_2025-11-11T20-45-58__log_backend_2025-11-11T20-45-56_hist_idx41.png', 'log_script_2025-11-11T20-45-58__log_backend_2025-11-11T20-45-56_hist_idx39.png', 'log_script_2025-11-11T20-45-58__log_backend_2025-11-11T20-45-56_hist_idx34.png', 'log_script_2025-11-11T20-45-58__log_backend_2025-11-11T20-45-56_hist_idx1.png']"
log_script_2025-11-11T20-45-59.json__log_backend_2025-11-11T20-46-01.json,log_script_2025-11-11T20-45-59.json,static\debug_logs\log_backend_2025-11-11T20-46-01.json,48,"[103, 102, 97, 106, 107, 108]","[0.4466008245944977, 0.40507999062538147, 0.3766399025917053, 0.34573954343795776, 0.3125, 0.2499999850988388]","[103, 102, 105, 104, 107, 41]","[3.118640184402466, 2.8120601177215576, 2.234988212585449, 1.765432596206665, 0.4635123908519745, 0.3336780071258545]",log_script_2025-11-11T20-45-59__log_backend_2025-11-11T20-46-01_stats.csv,"['log_script_2025-11-11T20-45-59__log_backend_2025-11-11T20-46-01_hist_idx103.png', 'log_script_2025-11-11T20-45-59__log_backend_2025-11-11T20-46-01_hist_idx102.png', 'log_script_2025-11-11T20-45-59__log_backend_2025-11-11T20-46-01_hist_idx97.png', 'log_script_2025-11-11T20-45-59__log_backend_2025-11-11T20-46-01_hist_idx106.png', 'log_script_2025-11-11T20-45-59__log_backend_2025-11-11T20-46-01_hist_idx107.png', 'log_script_2025-11-11T20-45-59__log_backend_2025-11-11T20-46-01_hist_idx108.png']"
log_script_2025-11-11T20-46-00.json__log_backend_2025-11-11T20-46-01.json,log_script_2025-11-11T20-46-00.json,static\debug_logs\log_backend_2025-11-11T20-46-01.json,48,"[106, 97, 108, 103, 102, 107]","[0.5172816514968872, 0.5009607672691345, 0.4791666567325592, 0.4466008245944977, 0.40507999062538147, 0.3125]","[103, 102, 105, 104, 108, 107]","[3.118640184402466, 2.8120601177215576, 2.268537759780884, 1.845476746559143, 0.4995657205581665, 0.4635123908519745]",log_script_2025-11-11T20-46-00__log_backend_2025-11-11T20-46-01_stats.csv,"['log_script_2025-11-11T20-46-00__log_backend_2025-11-11T20-46-01_hist_idx106.png', 'log_script_2025-11-11T20-46-00__log_backend_2025-11-11T20-46-01_hist_idx97.png', 'log_script_2025-11-11T20-46-00__log_backend_2025-11-11T20-46-01_hist_idx108.png', 'log_script_2025-11-11T20-46-00__log_backend_2025-11-11T20-46-01_hist_idx103.png', 'log_script_2025-11-11T20-46-00__log_backend_2025-11-11T20-46-01_hist_idx102.png', 'log_script_2025-11-11T20-46-00__log_backend_2025-11-11T20-46-01_hist_idx107.png']"
log_script_2025-11-11T20-46-01.json__log_backend_2025-11-11T20-46-01.json,log_script_2025-11-11T20-46-01.json,static\debug_logs\log_backend_2025-11-11T20-46-01.json,48,"[97, 106, 108, 103, 102, 107]","[0.5257652401924133, 0.5172816514968872, 0.4791666567325592, 0.4466008245944977, 0.40507999062538147, 0.3125]","[103, 102, 105, 104, 108, 107]","[3.118640184402466, 2.8120601177215576, 2.268537759780884, 1.845476746559143, 0.4995657205581665, 0.4635123908519745]",log_script_2025-11-11T20-46-01__log_backend_2025-11-11T20-46-01_stats.csv,"['log_script_2025-11-11T20-46-01__log_backend_2025-11-11T20-46-01_hist_idx97.png', 'log_script_2025-11-11T20-46-01__log_backend_2025-11-11T20-46-01_hist_idx106.png', 'log_script_2025-11-11T20-46-01__log_backend_2025-11-11T20-46-01_hist_idx108.png', 'log_script_2025-11-11T20-46-01__log_backend_2025-11-11T20-46-01_hist_idx103.png', 'log_script_2025-11-11T20-46-01__log_backend_2025-11-11T20-46-01_hist_idx102.png', 'log_script_2025-11-11T20-46-01__log_backend_2025-11-11T20-46-01_hist_idx107.png']"
log_script_2025-11-11T20-46-02.json__log_backend_2025-11-11T20-46-01.json,log_script_2025-11-11T20-46-02.json,static\debug_logs\log_backend_2025-11-11T20-46-01.json,48,"[106, 108, 97, 103, 102, 107]","[0.5172816514968872, 0.4791666567325592, 0.47249549627304077, 0.4466008245944977, 0.40507999062538147, 0.3125]","[103, 102, 105, 104, 108, 107]","[3.118640184402466, 2.8120601177215576, 2.268537759780884, 1.845476746559143, 0.4995657205581665, 0.4635123908519745]",log_script_2025-11-11T20-46-02__log_backend_2025-11-11T20-46-01_stats.csv,"['log_script_2025-11-11T20-46-02__log_backend_2025-11-11T20-46-01_hist_idx106.png', 'log_script_2025-11-11T20-46-02__log_backend_2025-11-11T20-46-01_hist_idx108.png', 'log_script_2025-11-11T20-46-02__log_backend_2025-11-11T20-46-01_hist_idx97.png', 'log_script_2025-11-11T20-46-02__log_backend_2025-11-11T20-46-01_hist_idx103.png', 'log_script_2025-11-11T20-46-02__log_backend_2025-11-11T20-46-01_hist_idx102.png', 'log_script_2025-11-11T20-46-02__log_backend_2025-11-11T20-46-01_hist_idx107.png']"
log_script_2025-11-11T20-46-03.json__log_backend_2025-11-11T20-46-03.json,log_script_2025-11-11T20-46-03.json,static\debug_logs\log_backend_2025-11-11T20-46-03.json,48,"[108, 106, 103, 97, 102, 99]","[0.4791666567325592, 0.45641088485717773, 0.44361093640327454, 0.4229974150657654, 0.4077500104904175, 0.28733956813812256]","[103, 102, 105, 104, 108, 107]","[3.109060525894165, 2.8090834617614746, 2.3679394721984863, 1.8065091371536255, 0.4995657801628113, 0.4330126941204071]",log_script_2025-11-11T20-46-03__log_backend_2025-11-11T20-46-03_stats.csv,"['log_script_2025-11-11T20-46-03__log_backend_2025-11-11T20-46-03_hist_idx108.png', 'log_script_2025-11-11T20-46-03__log_backend_2025-11-11T20-46-03_hist_idx106.png', 'log_script_2025-11-11T20-46-03__log_backend_2025-11-11T20-46-03_hist_idx103.png', 'log_script_2025-11-11T20-46-03__log_backend_2025-11-11T20-46-03_hist_idx97.png', 'log_script_2025-11-11T20-46-03__log_backend_2025-11-11T20-46-03_hist_idx102.png', 'log_script_2025-11-11T20-46-03__log_backend_2025-11-11T20-46-03_hist_idx99.png']"
